epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8242,1.22048,3.37744,1.68655,0.0044,1,0.06263,0.03535,0.65066,3.86414,1.06853,3.75e-05,3.75e-05,3.75e-05
2,25.3534,0.96708,3.25633,1.50649,0.00393,1,0.09451,0.05339,0.51378,3.84175,0.97366,8.66338e-05,8.66338e-05,8.66338e-05
3,37.8261,0.82897,3.24006,1.49337,0.00381,1,0.26975,0.19753,0.34491,3.81065,0.81224,0.000134777,0.000134777,0.000134777
4,50.0019,0.68884,3.00698,1.31181,0.00374,1,0.42444,0.38604,0.2805,3.79498,0.65779,0.000181931,0.000181931,0.000181931
5,62.0802,0.49773,2.81996,1.18723,0.00373,1,0.44334,0.41159,0.30366,3.78134,0.68338,0.000228095,0.000228095,0.000228095
6,74.7193,0.51422,2.72111,1.17658,0.00386,1,0.45386,0.30867,0.51548,3.80053,1.0469,0.000273269,0.000273269,0.000273269
7,86.6962,0.48463,2.54498,1.1838,0.00385,1,0.49158,0.28827,0.73538,3.87424,1.4306,0.000317452,0.000317452,0.000317452
8,98.3684,0.54592,2.42874,1.21949,0.00372,1,0.50038,0.27184,1.2443,4.08398,1.97735,0.000360646,0.000360646,0.000360646
9,109.831,0.4678,2.21472,1.09778,0.00359,1,0.48799,0.27835,0.73401,3.92916,1.21474,0.00040285,0.00040285,0.00040285
10,121.424,0.50903,2.1019,1.12709,0.0034,1,0.52639,0.37761,0.63427,3.81582,1.24478,0.000444064,0.000444064,0.000444064
11,133.364,0.57728,2.00766,1.19145,0.00342,1,0.86231,0.67419,0.67452,3.74233,1.40084,0.000484288,0.000484288,0.000484288
12,145.119,0.49652,1.69444,1.10375,0.00369,1,0.92429,0.69788,0.5947,3.5578,1.31384,0.000523521,0.000523521,0.000523521
13,156.802,0.53763,1.61701,1.12031,0.0039,1,0.868,0.59897,1.10343,3.64295,2.59322,0.000561765,0.000561765,0.000561765
14,168.658,0.54124,1.4879,1.10442,0.00422,1,0.81455,0.57624,1.23813,3.62947,2.51871,0.000599019,0.000599019,0.000599019
15,180.304,0.46181,1.5214,1.11322,0.91398,0.33333,0.72629,0.37256,1.57316,3.79098,2.75672,0.000635282,0.000635282,0.000635282
16,191.782,0.57339,1.44232,1.19031,0.94805,0.30299,0.76136,0.40063,1.25047,3.68973,2.15516,0.000670556,0.000670556,0.000670556
17,203.193,0.51832,1.37905,1.13037,0.97888,0.27778,0.78855,0.44515,1.02507,3.47081,1.89543,0.00070484,0.00070484,0.00070484
18,214.664,0.4672,1.28588,1.11189,0.93072,0.21351,0.903,0.4971,0.97277,3.33465,2.06671,0.000738134,0.000738134,0.000738134
19,226.275,0.46245,1.2456,1.12618,0.91545,0.32765,0.94,0.53146,1.37342,3.42187,2.23249,0.000770438,0.000770438,0.000770438
20,237.789,0.55284,1.1723,1.2025,0.93097,0.22222,0.69709,0.2048,1.7028,3.93066,2.50787,0.000801751,0.000801751,0.000801751
21,249.324,0.49458,1.21913,1.12279,0.8995,0.16667,0.15835,0.10176,2.24214,4.57235,3.08963,0.000832075,0.000832075,0.000832075
22,261.068,0.4776,1.25817,1.11303,0.52658,0.23084,0.22548,0.13109,1.86376,4.28153,3.15029,0.000861409,0.000861409,0.000861409
23,272.746,0.51192,1.12577,1.07886,0.51104,0.11111,0.12934,0.01632,2.52979,4.92526,3.63243,0.000889753,0.000889753,0.000889753
24,284.408,0.50566,1.08732,1.10652,0.00108,0.16667,0.00351,0.00046,4.18134,6.44215,5.53893,0.000917106,0.000917106,0.000917106
25,296.08,0.59323,1.21249,1.16615,0.58506,0.05556,0.05721,0.00594,4.17792,5.18199,5.28922,0.00094347,0.00094347,0.00094347
26,307.752,0.50864,1.0923,1.0735,0.49915,0.33021,0.23311,0.05147,2.3211,3.94628,3.36829,0.000940625,0.000940625,0.000940625
27,319.446,0.44078,0.8886,1.06565,0.92767,0.27778,0.35091,0.18952,1.42927,3.33018,2.56312,0.00092825,0.00092825,0.00092825
28,330.922,0.46682,1.10394,1.12232,0.84844,0.27778,0.36792,0.25102,1.23289,3.24743,2.25539,0.000915875,0.000915875,0.000915875
29,342.744,0.44596,1.02186,1.0712,0.86022,0.33333,0.39311,0.28341,0.97276,3.22419,2.23233,0.0009035,0.0009035,0.0009035
30,354.593,0.44699,1.07104,1.0615,0.88376,0.31282,0.61441,0.31383,1.02184,3.22026,2.19749,0.000891125,0.000891125,0.000891125
31,366.135,0.4615,1.04769,1.14206,0.98045,0.22222,0.30253,0.13635,1.59549,3.69118,2.80317,0.00087875,0.00087875,0.00087875
32,377.703,0.40021,0.94404,1.04994,0.99568,0.27778,0.33354,0.15433,1.34373,3.34086,2.35554,0.000866375,0.000866375,0.000866375
33,389.586,0.46919,0.98787,1.08982,0.93006,0.27778,0.31925,0.21298,1.0631,2.78806,2.09332,0.000854,0.000854,0.000854
34,400.989,0.44107,0.95856,1.07207,0.95097,0.32342,0.34354,0.26938,0.89692,2.70478,1.84198,0.000841625,0.000841625,0.000841625
35,412.283,0.38648,1.08692,1.05085,0.69386,0.4393,0.42084,0.35213,0.84284,2.59149,1.76557,0.00082925,0.00082925,0.00082925
36,423.809,0.52787,0.99129,1.10154,0.66793,0.44321,0.56736,0.3998,1.01592,2.65154,1.95401,0.000816875,0.000816875,0.000816875
37,435.481,0.4557,0.97452,1.15488,0.64314,0.3984,0.54781,0.35895,1.07334,2.95134,1.87961,0.0008045,0.0008045,0.0008045
38,447.076,0.39347,1.00043,1.06449,0.65718,0.40869,0.41468,0.29817,1.04003,2.7977,1.66662,0.000792125,0.000792125,0.000792125
39,458.485,0.41099,1.0041,1.13535,0.72968,0.43512,0.3821,0.26497,0.99282,2.70568,1.53669,0.00077975,0.00077975,0.00077975
40,469.931,0.45153,0.96619,1.09989,0.81888,0.38889,0.43497,0.28582,0.99195,2.626,1.76032,0.000767375,0.000767375,0.000767375
41,481.647,0.45658,0.89501,1.09876,0.7984,0.38889,0.48046,0.32868,1.03071,2.47224,1.97097,0.000755,0.000755,0.000755
42,493.23,0.42397,1.0295,1.05243,0.86799,0.5,0.51093,0.33013,1.23069,2.56529,2.29203,0.000742625,0.000742625,0.000742625
43,504.809,0.37207,0.8428,1.0315,0.80088,0.55556,0.51676,0.34465,1.19517,2.81132,2.24562,0.00073025,0.00073025,0.00073025
44,516.385,0.40815,0.81657,1.06999,0.81592,0.55556,0.47954,0.28805,1.3779,3.2005,2.38932,0.000717875,0.000717875,0.000717875
45,527.801,0.4193,0.91549,1.06041,0.74567,0.43081,0.36899,0.25382,1.56607,3.29216,2.4963,0.0007055,0.0007055,0.0007055
46,539.465,0.41918,1.05258,1.05107,0.76286,0.38889,0.37998,0.25372,1.57818,3.05162,2.46072,0.000693125,0.000693125,0.000693125
47,550.936,0.33697,0.84348,1.0294,0.77183,0.44444,0.37998,0.28028,1.51058,2.87384,2.35275,0.00068075,0.00068075,0.00068075
48,562.549,0.37503,0.74957,1.02134,0.79842,0.44444,0.3961,0.30769,1.22656,2.17698,2.0961,0.000668375,0.000668375,0.000668375
49,574.123,0.39295,0.87616,1.03405,0.94068,0.44444,0.53857,0.42597,1.02517,1.95737,1.81039,0.000656,0.000656,0.000656
50,585.634,0.36097,0.78384,0.97803,0.94456,0.44444,0.53928,0.4337,0.94376,1.90907,1.75128,0.000643625,0.000643625,0.000643625
51,597.263,0.42112,0.86694,1.12499,0.9133,0.44444,0.47233,0.38248,0.90419,2.02026,1.46984,0.00063125,0.00063125,0.00063125
52,608.914,0.35874,0.78568,1.00368,0.88867,0.44444,0.49406,0.38474,0.99646,2.14222,1.42669,0.000618875,0.000618875,0.000618875
53,620.451,0.32332,0.73026,1.02902,0.7503,0.44444,0.51064,0.38266,0.99126,2.15987,1.52336,0.0006065,0.0006065,0.0006065
54,632.053,0.36643,0.78238,1.04384,0.72217,0.44444,0.39973,0.33508,0.95498,2.32413,1.65451,0.000594125,0.000594125,0.000594125
55,643.654,0.33986,0.74917,1.03587,0.61792,0.32544,0.36004,0.28568,0.98423,2.45463,1.78239,0.00058175,0.00058175,0.00058175
56,655.083,0.32425,0.7035,0.99498,0.58098,0.33333,0.32218,0.24043,1.04682,2.62041,1.90815,0.000569375,0.000569375,0.000569375
57,666.641,0.417,0.98669,1.09171,0.61642,0.33333,0.31676,0.24273,1.02619,2.50701,1.85067,0.000557,0.000557,0.000557
58,678.322,0.35058,0.77518,1.01032,0.939,0.33333,0.33259,0.25404,1.0553,2.38652,1.81255,0.000544625,0.000544625,0.000544625
59,689.861,0.37259,0.86787,1.06754,0.91938,0.33333,0.36187,0.27843,0.97493,2.42035,1.71347,0.00053225,0.00053225,0.00053225
60,701.463,0.34807,0.77905,1.00854,0.91693,0.33333,0.68992,0.54811,0.89118,2.30915,1.57349,0.000519875,0.000519875,0.000519875
61,713.257,0.32525,0.75344,1.00562,0.64594,0.41673,0.76945,0.66893,0.71083,2.16861,1.30791,0.0005075,0.0005075,0.0005075
62,724.971,0.38383,0.73335,1.03405,0.65352,0.44341,0.81542,0.63705,0.6913,2.12356,1.27343,0.000495125,0.000495125,0.000495125
63,736.5,0.32857,0.78566,0.99112,0.5907,0.44444,0.86233,0.71606,0.78527,2.16942,1.39578,0.00048275,0.00048275,0.00048275
64,748.04,0.30144,0.77636,0.96809,0.98004,0.33333,0.82917,0.70371,0.83627,2.30296,1.49419,0.000470375,0.000470375,0.000470375
65,759.553,0.38303,0.82913,1.08987,0.5969,0.37552,0.91208,0.71918,0.76459,2.16737,1.37976,0.000458,0.000458,0.000458
66,771.192,0.34499,0.68972,1.04089,0.69514,0.44043,0.86949,0.71839,0.69389,2.01786,1.24941,0.000445625,0.000445625,0.000445625
67,783.003,0.3003,0.67237,0.99763,0.70032,0.55556,0.81345,0.70398,0.63196,2.07267,1.14288,0.00043325,0.00043325,0.00043325
68,794.568,0.3367,0.70589,1.01996,0.70242,0.55456,0.81345,0.69292,0.63243,2.02451,1.17488,0.000420875,0.000420875,0.000420875
69,806.361,0.29394,0.67309,0.98065,0.62546,0.44444,0.885,0.73306,0.64611,1.94422,1.2025,0.0004085,0.0004085,0.0004085
70,818.139,0.30312,0.72689,1.00669,0.652,0.51739,0.86929,0.72414,0.65455,1.90429,1.25954,0.000396125,0.000396125,0.000396125
71,829.839,0.33644,0.68379,0.99731,0.88475,0.44444,0.85357,0.70848,0.65069,1.8943,1.28348,0.00038375,0.00038375,0.00038375
72,841.304,0.32542,0.66974,1.00079,0.88234,0.44444,0.67595,0.55727,0.68051,1.9317,1.35569,0.000371375,0.000371375,0.000371375
73,852.758,0.28622,0.64265,0.96837,0.76189,0.44444,0.57718,0.44953,0.74879,2.04362,1.41546,0.000359,0.000359,0.000359
74,864.341,0.30133,0.74666,0.97864,0.74651,0.44444,0.46755,0.373,0.72212,2.02611,1.41783,0.000346625,0.000346625,0.000346625
75,876.026,0.25816,0.58478,0.96934,0.75775,0.44444,0.47896,0.38581,0.7126,2.05896,1.38976,0.00033425,0.00033425,0.00033425
76,887.62,0.31026,0.67345,1.0259,0.76234,0.44444,0.48658,0.36374,0.84735,1.95882,1.6431,0.000321875,0.000321875,0.000321875
77,899.304,0.27337,0.6132,0.9795,0.66817,0.65343,0.49758,0.36574,0.82926,1.99823,1.64411,0.0003095,0.0003095,0.0003095
78,910.833,0.26483,0.64323,0.98036,0.6749,0.66667,0.48657,0.35033,0.85565,2.00175,1.71648,0.000297125,0.000297125,0.000297125
79,922.427,0.25906,0.59767,0.97297,0.67417,0.66667,0.47943,0.34785,0.82571,1.92831,1.65171,0.00028475,0.00028475,0.00028475
80,934.176,0.27923,0.5877,0.98014,0.65226,0.55556,0.40735,0.34619,0.76121,1.87815,1.53279,0.000272375,0.000272375,0.000272375
81,945.81,0.29714,0.64231,1.02652,0.6308,0.55556,0.52913,0.44375,0.84146,1.83069,1.62264,0.00026,0.00026,0.00026
82,957.652,0.36047,0.8416,1.04919,0.62624,0.55556,0.75667,0.63183,0.79376,1.78414,1.59999,0.000247625,0.000247625,0.000247625
83,969.375,0.28469,0.82892,0.99162,0.60227,0.44444,0.71883,0.61931,0.76032,1.79443,1.58771,0.00023525,0.00023525,0.00023525
84,981.033,0.31044,0.68201,1.0222,0.66604,0.61958,0.80548,0.63372,0.72365,1.835,1.52955,0.000222875,0.000222875,0.000222875
85,992.804,0.29041,0.71997,0.97321,0.60049,0.55556,0.72675,0.62773,0.69886,1.84783,1.48044,0.0002105,0.0002105,0.0002105
86,1004.47,0.29774,0.63633,0.99376,0.71968,0.54584,0.82131,0.63606,0.66252,1.78742,1.42988,0.000198125,0.000198125,0.000198125
87,1016.32,0.29154,0.63205,0.96281,0.7184,0.65364,0.82917,0.65262,0.65444,1.76228,1.42653,0.00018575,0.00018575,0.00018575
88,1027.97,0.2985,0.59499,0.96274,0.70251,0.66667,0.82917,0.68267,0.67349,1.77678,1.45316,0.000173375,0.000173375,0.000173375
89,1039.75,0.26352,0.58572,1.00587,0.73357,0.66667,0.86233,0.69341,0.70666,1.82571,1.50599,0.000161,0.000161,0.000161
90,1051.4,0.26794,0.74846,1.03624,0.70165,0.5552,0.86233,0.68774,0.7306,1.8946,1.52935,0.000148625,0.000148625,0.000148625
91,1063.08,0.24409,1.24025,0.99267,0.67617,0.44444,0.82917,0.66129,0.76413,2.04674,1.60774,0.00013625,0.00013625,0.00013625
92,1074.55,0.25335,1.34791,1.07307,0.67317,0.44444,0.53444,0.41434,0.79052,2.11879,1.60519,0.000123875,0.000123875,0.000123875
93,1085.93,0.2599,1.22102,1.09318,0.6761,0.44444,0.42583,0.33914,0.80122,2.14078,1.57856,0.0001115,0.0001115,0.0001115
94,1097.27,0.24283,0.96679,1.06433,0.67853,0.44444,0.39012,0.31293,0.79797,2.12883,1.53772,9.9125e-05,9.9125e-05,9.9125e-05
95,1108.71,0.22025,0.88982,1.04049,0.67979,0.44444,0.38631,0.31012,0.77153,2.12999,1.45954,8.675e-05,8.675e-05,8.675e-05
96,1120.13,0.19573,0.80925,0.94152,0.67499,0.44444,0.3816,0.31615,0.74041,2.18245,1.3919,7.4375e-05,7.4375e-05,7.4375e-05
97,1131.58,0.28258,0.9015,1.0957,0.67741,0.44444,0.37891,0.31488,0.73247,2.22218,1.37559,6.2e-05,6.2e-05,6.2e-05
98,1143.02,0.20262,0.89702,1.02166,0.67967,0.44444,0.37795,0.31328,0.73035,2.26375,1.36711,4.9625e-05,4.9625e-05,4.9625e-05
99,1154.44,0.22599,0.85883,0.97684,0.68228,0.44444,0.37671,0.30316,0.72132,2.29374,1.3608,3.725e-05,3.725e-05,3.725e-05
100,1166.09,0.16766,0.79434,0.97681,0.67698,0.44444,0.37506,0.30234,0.72479,2.32309,1.36155,2.4875e-05,2.4875e-05,2.4875e-05
